symbol	name	term	group	hgnc_id	ensembl_gene_id
C4BPB	complement component 4 binding protein beta	data.tsv	NO GROUP	HGNC:1328	ENSG00000123843
GNAQ	G protein subunit alpha q	data.tsv	NO GROUP	HGNC:4390	ENSG00000156052
SEMG2	semenogelin-2	data.tsv	NO GROUP		
GP1B-FLNA_HUMAN	glycoprotein ib-ix-v-filamin-a complex	data.tsv	NO GROUP		
GP1B_HUMAN	glycoprotein ib-ix-v complex	data.tsv	NO GROUP		
F8_HUMAN-1	coagulation factor viiia complex, heavy chain variant 2	data.tsv	NO GROUP		
KLKB1_HUMAN-1	kallikrein complex	data.tsv	NO GROUP		
F13_HUMAN	coagulation factor xiiia complex	data.tsv	NO GROUP		
FIBRIN-CLOT_HUMAN	fibrin clot	data.tsv	NO GROUP		
FIBRIN_HUMAN	fibrin complex	data.tsv	NO GROUP		
F2-THBD_HUMAN	thrombin-thrombomodulin complex	data.tsv	NO GROUP		
F2_HUMAN	alpha-thrombin complex	data.tsv	NO GROUP		
DGKA	diacylglycerol kinase alpha	data.tsv	NO GROUP	HGNC:2849	ENSG00000065357
F10_HUMAN	coagulation factor xa complex	data.tsv	NO GROUP		
F7_HUMAN	coagulation factor viia complex	data.tsv	NO GROUP		
F12_HUMAN	coagulation factor xiia complex	data.tsv	NO GROUP		
F11_HUMAN	coagulation factor xia complex	data.tsv	NO GROUP		
