bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	annotation_class_label	annotation_extension_class_label	term
UniProtKB:P0DMV9	Heat shock 70 kDa protein 1B		GO:0042026		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR19375	protein	UniProtKB:P0DMV9	PMID:27708256	20170130	HSPA1B	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P0DMV9	Heat shock 70 kDa protein 1B		GO:0042026		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000452648,UniProtKB:P54652,UniProtKB:P17066,UniProtKB:P0DMV8,UniProtKB:P11142,UniProtKB:P34931,UniProtKB:P0DMV9,SGD:S000003806,SGD:S000000004	PANTHER:PTHR19375	protein		GO_REF:0000033	20221122	HSPA1B	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P10809	60 kDa heat shock protein, mitochondrial		GO:0042026		InterPro	NCBITaxon:9606	IEA	InterPro:IPR001844	PANTHER:PTHR45633	protein	UniProtKB:P10809	GO_REF:0000002	20250429	HSPD1	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P10809	60 kDa heat shock protein, mitochondrial		GO:0042026		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR45633	protein	UniProtKB:P10809	PMID:11050098	20080718	HSPD1	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P38646	Stress-70 protein, mitochondrial		GO:0042026		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000452648,UniProtKB:P54652,UniProtKB:P17066,UniProtKB:P0DMV8,UniProtKB:P11142,UniProtKB:P34931,UniProtKB:P0DMV9,SGD:S000003806,SGD:S000000004	PANTHER:PTHR19375	protein		GO_REF:0000033	20221122	HSPA9	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P31689	DnaJ homolog subfamily A member 1		GO:0042026		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002376157,SGD:S000005008,UniProtKB:O60884,UniProtKB:Q8WW22,PomBase:SPBC1734.11	PANTHER:PTHR43888	protein		GO_REF:0000033	20211119	DNAJA1	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P11142	Heat shock cognate 71 kDa protein		GO:0042026		UniProt	NCBITaxon:9606	IEA	ARBA:ARBA00043587	PANTHER:PTHR19375	protein	UniProtKB:P11142	GO_REF:0000117	20250428	HSPA8	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P11142	Heat shock cognate 71 kDa protein		GO:0042026		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR19375	protein	UniProtKB:P11142	PMID:21231916	20140403	HSPA8	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P11142	Heat shock cognate 71 kDa protein		GO:0042026		ParkinsonsUK-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR19375	protein	UniProtKB:P11142	PMID:25719862	20151005	HSPA8	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P11142	Heat shock cognate 71 kDa protein		GO:0042026		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000452648,UniProtKB:P54652,UniProtKB:P17066,UniProtKB:P0DMV8,UniProtKB:P11142,UniProtKB:P34931,UniProtKB:P0DMV9,SGD:S000003806,SGD:S000000004	PANTHER:PTHR19375	protein		GO_REF:0000033	20221122	HSPA8	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P62942	Peptidyl-prolyl cis-trans isomerase FKBP1A		GO:0042026	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050""\, ""label"": ""part of""}]\, ""id"": ""GO:0051604""\, ""label"": ""protein maturation""}}"	BHF-UCL	NCBITaxon:9606	TAS		PANTHER:PTHR10516	protein	UniProtKB:P62942	PMID:11322937	20241027	FKBP1A	Homo sapiens	protein refolding	protein maturation	protein_refolding
UniProtKB:P48741	Putative heat shock 70 kDa protein 7		GO:0042026		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000452648,UniProtKB:P54652,UniProtKB:P17066,UniProtKB:P0DMV8,UniProtKB:P11142,UniProtKB:P34931,UniProtKB:P0DMV9,SGD:S000003806,SGD:S000000004	PANTHER:PTHR19375	protein		GO_REF:0000033	20221122	HSPA7	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P25686	DnaJ homolog subfamily B member 2		GO:0042026		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR45168	protein	UniProtKB:P25686	PMID:21231916	20140403	DNAJB2	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P25686	DnaJ homolog subfamily B member 2		GO:0042026		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002376289,UniProtKB:P25686	PANTHER:PTHR45168	protein		GO_REF:0000033	20171221	DNAJB2	Homo sapiens	protein refolding		protein_refolding
UniProtKB:Q0VDF9	Heat shock 70 kDa protein 14		GO:0042026		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000452648,UniProtKB:P54652,UniProtKB:P17066,UniProtKB:P0DMV8,UniProtKB:P11142,UniProtKB:P34931,UniProtKB:P0DMV9,SGD:S000003806,SGD:S000000004	PANTHER:PTHR19375	protein		GO_REF:0000033	20221122	HSPA14	Homo sapiens	protein refolding		protein_refolding
UniProtKB:P61769	Beta-2-microglobulin		GO:0042026		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P01887,ensembl:ENSMUSP00000099534	PANTHER:PTHR19944	protein	UniProtKB:P61769	GO_REF:0000107	20250313	B2M	Homo sapiens	protein refolding		protein_refolding
UniProtKB:Q9HCN8	Stromal cell-derived factor 2-like protein 1		GO:0042026		FlyBase	NCBITaxon:9606	IMP		PANTHER:PTHR46809	protein	UniProtKB:Q9HCN8	PMID:28597544	20250304	SDF2L1	Homo sapiens	protein refolding		protein_refolding
